"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"76",76,"E30254010000000000005230797601807",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1071","850",2002-02-01,1134210,"7336","Kusel","733610","Kusel-Altenglan",2700,1134,9180,810,3141.1584
"77",77,"E30254010000000000005230797606681",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1069","850",2002-02-01,1134204,"7336","Kusel","733610","Kusel-Altenglan",2700,1134,9180,810,3141.1584
"78",78,"E30254010000000000005230822702034","ENERCON GmbH","E-66 /15.66",1500,"10.04.2000",7333008,49.628597,7.755712,67,66,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","1500",2000-04-10,1975377,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,1975,8415,426,2514.176
"79",79,"E30254010000000000005230822702035","ENERCON GmbH","E-66/18.70b",1800,"05.03.2004",7333008,49.629879,7.755334,98,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"E30254010000000000005230822706687","Enron Wind GmbH","E-40/5.40",500,"04.11.1999",7333008,49.628729,7.758726,65,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"E30254010000000000005230822707035",NA,NA,NA,NA,NA,NA,NA,NA,NA,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","500",1999-11-04,742214,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,742,8415,1134,2995.5392
"82",82,"E30254010000000000005230823306682",NA,NA,NA,NA,NA,NA,NA,NA,NA,733501203,66894,"Martinshöhe","Gemarkung Martinshöhe, Flurst. 720","1000",2000-12-28,1169164,"7335","Kaiserslautern","733501","Bruchmühlbach-Miesau",2375,1169,8075,691,2696.1024
"83",83,"E30254010000000000005230823402040","ENERCON GmbH","E 40/6.44",600,"28.12.2004",7336074,49.686775,7.666451,78,44,733608074,67748,"Odenbach","Gemarkung Odenbach, Flurst. 3375, Am Sportpl.","600",2004-12-28,716942,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,717,9180,1280,3303.9552
"84",84,"E30254010000000000005230823407054","ENERCON GmbH","E 40/6.44",600,"28.12.2004",7336074,49.685214,7.665335,78,44,733608074,67748,"Odenbach","Gemarkung Odenbach, Flurst. 3375/3384, Am Sportpl.","600",2004-12-28,716934,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,717,9180,1280,3303.9552
"85",85,"E30254010000000000005230826706683",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610103,66887,"Welchweiler","Gemarkung Welchweiler, Flurst. 1140/1","1750",2003-12-22,1186884,"7336","Kusel","733610","Kusel-Altenglan",2700,1187,9180,773,3120.4672
"86",86,"E30254010000000000005230827307061",NA,NA,NA,NA,NA,NA,NA,NA,NA,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","1800",2004-02-27,2707546,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,2708,8415,311,2228.0128
"87",87,"E30254010000000000005230837706693","ENERCON GmbH","E 40",500,"05.02.1998",7333031,49.679773,8.076552,65,40,733304031,67294,"Ilbesheim","Gemarkung Rittersheim, Flurst. 312","500",1998-02-05,725465,"7333","Donnersbergkreis","733304","Kirchheimbolanden",2475,725,8415,1161,3002.176
